movie_id,title,release_date,budget,revenue,genres,vote_average,vote_count,country,imdb_id,metacritic_score
72190,World War Z,2013-06-20,200000000,531865000,Action,6.802,14055,['United States of America'],tt0816711,63
72190,World War Z,2013-06-20,200000000,531865000,Drama,6.802,14055,['United States of America'],tt0816711,63
72190,World War Z,2013-06-20,200000000,531865000,Horror,6.802,14055,['United States of America'],tt0816711,63
72190,World War Z,2013-06-20,200000000,531865000,Science Fiction,6.802,14055,['United States of America'],tt0816711,63
72190,World War Z,2013-06-20,200000000,531865000,Thriller,6.802,14055,['United States of America'],tt0816711,63
424,Schindler's List,1993-12-15,22000000,321365567,Drama,8.571,14055,['United States of America'],tt0108052,95
424,Schindler's List,1993-12-15,22000000,321365567,History,8.571,14055,['United States of America'],tt0108052,95
424,Schindler's List,1993-12-15,22000000,321365567,War,8.571,14055,['United States of America'],tt0108052,95
330459,Rogue One: A Star Wars Story,2016-12-14,200000000,1056057273,Action,7.488,14033,['United States of America'],tt3748528,65
330459,Rogue One: A Star Wars Story,2016-12-14,200000000,1056057273,Adventure,7.488,14033,['United States of America'],tt3748528,65
330459,Rogue One: A Star Wars Story,2016-12-14,200000000,1056057273,Science Fiction,7.488,14033,['United States of America'],tt3748528,65
